date,Households and nonprofit organizations; total assets,Households and nonprofit organizations; nonfinancial assets,Households and nonprofit organizations; real estate at market value,Households; owner-occupied real estate including vacant land and mobile homes at market value,Nonprofit organizations; real estate at market value,Nonprofit organizations; equipment, current cost basis,Nonprofit organizations; nonresidential intellectual property products, current cost basis,Households and nonprofit organizations; consumer durable goods, current cost basis,Households and nonprofit organizations; total financial assets,Households and nonprofit organizations; private foreign deposits; asset,Households and nonprofit organizations; checkable deposits and currency; asset,Households and nonprofit organizations; total time and savings deposits; asset,Households and nonprofit organizations; money market fund shares; asset,Households and nonprofit organizations; debt securities; asset,Households and nonprofit organizations; Treasury securities; asset,Households and nonprofit organizations; agency- and GSE-backed securities; asset,Households and nonprofit organizations; municipal securities; asset,Households and nonprofit organizations; corporate and foreign bonds; asset,Households and nonprofit organizations; loans; asset,Households and nonprofit organizations; other loans and advances; asset,Households and nonprofit organizations; total mortgages; asset,Nonprofit organizations; consumer credit, student loans; asset,Households and nonprofit organizations; corporate equities; asset,Households and nonprofit organizations; mutual fund shares; asset,Nonprofit organizations; grants and trade receivables; asset,Households and nonprofit organizations; life insurance reserves; asset,Households and nonprofit organizations; pension entitlements; asset,Households and nonprofit organizations; proprietors' equity in noncorporate business,Households and nonprofit organizations; total miscellaneous assets,Households and nonprofit organizations; total liabilities,Nonprofit organizations; municipal securities; liability,Households and nonprofit organizations; loans; liability,Households and nonprofit organizations; one-to-four-family residential mortgages; liability,Households and nonprofit organizations; consumer credit; liability,Households and nonprofit organizations; depository institution loans n.e.c.; liability,Households and nonprofit organizations; other loans and advances; liability,Nonprofit organizations; commercial mortgages; liability,Nonprofit organizations; trade payables; liability,Life insurance companies, general accounts; deferred and unpaid life insurance premiums; asset,Households and nonprofit organizations; net worth,All sectors; IRAs; liability,Households and nonprofit organizations; assets in 529 plans,Households and nonprofit organizations; assets in 529 savings plans,Households and nonprofit organizations; assets in 529 pre-paid plans,Households and nonprofit organizations; residential structures, current cost basis,Households; residential structures, current cost basis,Nonprofit organizations; residential structures, current cost basis,Nonprofit organizations; nonresidential structures, current cost basis,Households and nonprofit organizations; disposable personal income,Households and nonprofit organizations; net worth as a percentage of disposable personal income,Households; owners' equity in real estate,Households; owners' equity in real estate as a percentage of household real estate
1945:Q4,837197,189324,134635,116049,18586,436,257,53996,647873,0,55449,50230,0,78843,66517,61,3869,8396,12883,694,12189,0,144855,1245,0,39560,61172,197385,6251,30584,0,29442,18706,6800,290,3330,316,504,638,806613,ND,ND,ND,ND,107881,102946,4935,9756,ND,ND,97343,83.88094684142044
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,922654,220712,158074,133422,24652,590,292,61756,701942,0,60651,56568,0,76489,65127,93,3817,7452,14444,733,13711,0,138515,1298,0,43360,69381,234182,7054,37441,0,36067,23100,9777,174,2602,414,671,703,885213,ND,ND,ND,ND,134947,129012,5935,13314,165324,535.4410689830411,110322,82.68651346854342
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,1030660,280809,206381,177473,28908,768,310,73350,749851,0,60519,60047,0,76315,65065,148,4458,6644,15730,660,15070,0,136405,1413,0,46510,77939,267381,7592,46468,0,44913,28267,13298,156,2686,506,771,784,984192,ND,ND,ND,ND,161775,155026,6749,16169,174691,563.3900934947995,149206,84.07250680385185
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
